Time,Diff Angle,Left Motor Speed,Right Motor Speed,,,,
17.72605968,4,23.582,40.214,,,,
17.74183297,4,23.582,40.214,,,,
17.7607491,4,23.582,40.214,,,,
17.90498304,5,23.582,40.214,,,,
17.92026162,4,23.582,40.214,,,,
17.93640089,4,23.582,40.214,,,,
17.95592642,3,41.401,41.4285,,,,
17.9765892,5,23.582,40.214,,,,
18.01184106,4,23.582,40.214,,,,
18.02806616,4,23.582,40.214,,,,
18.0475502,3,41.401,41.4285,,,,
18.07009625,4,23.582,40.214,,,,
18.08927155,3,41.401,41.4285,,,,
18.15106916,3,41.401,41.4285,,,,
18.16729999,4,23.582,40.214,,,,
18.18842554,2,41.401,41.4285,,,,
18.21128035,3,41.401,41.4285,,,,
18.22900224,2,41.401,41.4285,,,,
18.26640487,3,41.401,41.4285,,,,
18.28788972,3,41.401,41.4285,,,,
18.31115603,3,41.401,41.4285,,,,
18.3310883,3,41.401,41.4285,,,,
18.42163253,3,41.401,41.4285,,,,
18.43832159,4,23.582,40.214,,,,
18.45326376,3,41.401,41.4285,,,,
18.4684763,2,41.401,41.4285,,,,
18.48957515,3,41.401,41.4285,,,,
18.51424742,3,41.401,41.4285,,,,
18.53112435,3,41.401,41.4285,,,,
18.55280185,2,41.401,41.4285,,,,
18.56793928,3,41.401,41.4285,,,,
18.58322644,4,23.582,40.214,,,,
18.59961224,3,41.401,41.4285,,,,
18.62110591,2,41.401,41.4285,,,,
18.64135051,3,41.401,41.4285,,,,
18.65668774,3,41.401,41.4285,,,,
18.67198825,3,41.401,41.4285,,,,
18.68718719,3,41.401,41.4285,,,,
18.70882988,4,23.582,40.214,,,,
18.73086834,3,41.401,41.4285,,,,
18.75024557,3,41.401,41.4285,,,,
18.80369115,3,41.401,41.4285,,,,
18.82323098,2,41.401,41.4285,,,,
18.84432673,3,41.401,41.4285,,,,
18.86392021,3,41.401,41.4285,,,,
18.88663507,4,23.582,40.214,,,,
18.91620302,4,23.582,40.214,,,,
18.93134809,3,41.401,41.4285,,,,
18.95209312,4,23.582,40.214,,,,
18.97152019,2,41.401,41.4285,,,,
18.9898169,4,23.582,40.214,,,,
19.023839,3,41.401,41.4285,,,,
19.03886485,5,23.582,40.214,,,,
19.05381489,3,41.401,41.4285,,,,
19.0692699,4,23.582,40.214,,,,
19.08581996,3,41.401,41.4285,,,,
19.10715199,2,41.401,41.4285,,,,
19.12563896,4,23.582,40.214,,,,
19.14377999,4,23.582,40.214,,,,
19.16011262,3,41.401,41.4285,,,,
19.19150233,2,41.401,41.4285,,,,
19.20779777,4,23.582,40.214,,,,
19.22518563,3,41.401,41.4285,,,,
19.24489546,3,41.401,41.4285,,,,
19.26620293,2,41.401,41.4285,,,,
19.30356288,2,41.401,41.4285,,,,
19.32012749,3,41.401,41.4285,,,,
19.33582854,3,41.401,41.4285,,,,
19.35710382,2,41.401,41.4285,,,,
19.37737322,3,41.401,41.4285,,,,
19.41946554,3,41.401,41.4285,,,,
19.44222593,4,23.582,40.214,,,,
19.45836878,3,41.401,41.4285,,,,
19.48682284,4,23.582,40.214,,,,
19.50271988,3,41.401,41.4285,,,,
19.52292776,2,41.401,41.4285,,,,
19.54200768,2,41.401,41.4285,,,,
19.5579977,3,41.401,41.4285,,,,
19.58236885,4,23.582,40.214,,,,
19.62714815,3,41.401,41.4285,,,,
19.6420505,2,41.401,41.4285,,,,
19.65723872,3,41.401,41.4285,,,,
19.67309284,3,41.401,41.4285,,,,
19.69434237,3,41.401,41.4285,,,,
19.71037579,4,23.582,40.214,,,,
19.73095345,3,41.401,41.4285,,,,
